,Income,MntWines
0,58138.0,635
1,46344.0,11
2,71613.0,426
3,26646.0,11
4,58293.0,173
5,62513.0,520
6,55635.0,235
7,33454.0,76
8,30351.0,14
9,5648.0,28
11,7500.0,6
12,63033.0,194
13,59354.0,233
14,17323.0,3
15,82800.0,1006
16,41850.0,53
17,37760.0,84
18,76995.0,1012
19,33812.0,4
20,37040.0,86
21,2447.0,1
22,58607.0,867
23,65324.0,384
24,40689.0,270
25,18589.0,6
26,53359.0,173
28,38360.0,36
29,84618.0,684
30,10979.0,8
31,38620.0,112
32,40548.0,110
33,46610.0,96
34,68657.0,482
35,49389.0,40
36,67353.0,702
37,23718.0,6
38,42429.0,55
39,48948.0,437
40,80011.0,421
41,20559.0,13
42,21994.0,9
44,7500.0,3
45,79941.0,123
46,7500.0,3
47,41728.0,13
49,72550.0,826
50,65486.0,245
51,79143.0,650
52,35790.0,12
53,82582.0,510
54,66373.0,328
55,82384.0,984
56,70287.0,295
57,27938.0,13
59,55954.0,447
60,75777.0,712
61,66653.0,452
62,61823.0,523
63,67680.0,546
64,70666.0,398
65,25721.0,1
66,32474.0,10
67,88194.0,688
68,69096.0,247
69,74854.0,856
70,66991.0,496
72,65031.0,258
73,60631.0,565
74,28332.0,14
75,40246.0,2
76,75251.0,721
77,75825.0,1032
78,26326.0,1
79,56046.0,577
80,29760.0,64
81,26304.0,4
82,23559.0,25
83,38620.0,112
84,81361.0,163
85,29440.0,17
86,36138.0,130
87,50388.0,292
88,79593.0,350
89,54178.0,135
93,42394.0,15
94,23626.0,27
95,30096.0,5
96,47916.0,505
97,51813.0,51
98,78497.0,207
99,50150.0,135
100,47823.0,53
101,34554.0,41
102,85693.0,386
103,65846.0,562
104,87195.0,217
105,24594.0,1
106,49096.0,144
107,52413.0,295
108,38557.0,76
109,89058.0,454
110,77298.0,425
111,68126.0,1332
112,57288.0,527
113,86037.0,490
114,43974.0,378
115,50785.0,64
116,90765.0,547
117,36550.0,47
118,30753.0,12
119,21918.0,1
120,56129.0,320
121,32557.0,34
122,19510.0,9
123,30992.0,17
124,101970.0,722
125,71488.0,162
126,79607.0,450
127,54348.0,70
129,77376.0,492
130,62998.0,120
131,61331.0,534
132,73448.0,236
134,41551.0,220
135,62981.0,796
136,9548.0,0
137,33762.0,53
138,35860.0,15
139,36921.0,17
140,92859.0,962
141,65104.0,738
142,86111.0,399
143,68352.0,614
144,41883.0,32
145,59809.0,598
146,23957.0,2
147,38547.0,6
148,35688.0,73
149,49605.0,42
150,59354.0,295
151,65747.0,346
152,46344.0,233
153,34176.0,5
154,61010.0,888
155,69372.0,997
156,49967.0,212
157,60199.0,8
158,55375.0,42
159,80317.0,536
160,30523.0,5
161,70356.0,1349
162,23228.0,53
163,74165.0,1001
164,157243.0,20
165,43482.0,18
166,62551.0,125
167,52332.0,212
168,66951.0,277
169,26091.0,15
170,33456.0,7
171,28718.0,12
172,50447.0,85
173,53537.0,81
174,52074.0,59
175,80427.0,1149
176,83837.0,847
177,38853.0,29
178,38285.0,2
179,78497.0,207
180,51650.0,152
181,16248.0,12
182,66835.0,620
183,30477.0,47
184,28249.0,1
185,25271.0,10
186,32303.0,35
187,61286.0,356
188,74068.0,783
189,45759.0,42
190,24882.0,1
191,66973.0,466
192,36640.0,15
193,38872.0,23
194,51148.0,235
195,31353.0,10
196,69661.0,656
197,80067.0,519
198,86718.0,344
199,46854.0,96
200,69142.0,448
201,75922.0,265
202,63693.0,587
203,102160.0,763
204,40637.0,22
205,18890.0,6
206,29604.0,7
207,48721.0,81
208,44794.0,54
209,64497.0,1170
210,46097.0,72
211,77972.0,613
212,44377.0,224
213,46014.0,410
214,70951.0,239
215,41443.0,171
216,52195.0,12
217,83790.0,1076
218,44551.0,182
219,69508.0,824
220,45204.0,30
221,72460.0,377
222,77622.0,520
223,30732.0,155
224,63887.0,897
225,42011.0,131
226,51369.0,297
227,51537.0,787
228,79930.0,792
229,34320.0,4
230,37070.0,231
231,81975.0,983
232,38590.0,3
233,15033.0,0
234,62745.0,562
235,22212.0,5
236,23661.0,18
237,79761.0,415
238,7500.0,5
239,60182.0,8
240,73455.0,901
241,64961.0,382
242,22804.0,14
243,73687.0,559
244,61074.0,789
245,31686.0,11
246,80134.0,1218
247,75027.0,925
248,67546.0,864
249,65176.0,960
250,31160.0,16
251,29938.0,3
252,102692.0,168
253,26490.0,45
254,75702.0,650
255,30899.0,24
256,63342.0,918
257,45989.0,138
258,18701.0,12
259,40737.0,11
260,15287.0,1
261,69674.0,554
262,44159.0,167
263,37717.0,9
264,43776.0,177
265,38179.0,38
266,80124.0,483
267,38097.0,77
268,72940.0,182
269,22070.0,10
270,69267.0,778
271,31788.0,16
272,61905.0,167
273,29315.0,13
274,33378.0,33
275,66313.0,625
276,60714.0,216
277,77882.0,68
278,69867.0,196
279,63841.0,635
280,24480.0,4
281,51369.0,297
282,37760.0,84
283,65640.0,204
284,44319.0,26
285,30631.0,15
286,75278.0,304
287,50898.0,285
288,79946.0,395
289,35416.0,248
290,32414.0,20
291,38361.0,39
292,82497.0,777
293,16626.0,8
294,29672.0,9
295,55951.0,1241
296,35388.0,6
297,42386.0,65
298,68627.0,395
299,57912.0,801
300,35246.0,36
301,58821.0,513
302,46377.0,37
303,39747.0,80
304,23976.0,14
305,80950.0,525
306,27038.0,1
307,77457.0,675
308,64100.0,509
309,42670.0,154
310,12571.0,3
311,22574.0,25
313,70893.0,768
314,54198.0,185
315,28839.0,24
316,40321.0,44
317,66503.0,91
318,30833.0,11
320,64795.0,412
321,34421.0,3
322,47025.0,16
323,64325.0,731
324,40464.0,424
325,62187.0,792
326,14849.0,21
327,27255.0,22
328,54432.0,33
329,29999.0,68
330,24072.0,9
331,33996.0,40
332,66334.0,909
333,35178.0,23
334,22010.0,11
335,62204.0,317
336,75693.0,797
337,30675.0,10
338,83003.0,856
339,83532.0,755
340,68655.0,456
